Target: http://team.thm/
Total requests: 4989
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00087:  C=200    373 L	     977 W	  11366 Ch	  "apps"
00100:  C=200    373 L	     977 W	  11366 Ch	  "helpdesk"
00099:  C=200    373 L	     977 W	  11366 Ch	  "monitor"
00107:  C=200    373 L	     977 W	  11366 Ch	  "upload"
00109:  C=200    373 L	     977 W	  11366 Ch	  "bbs"
00098:  C=200    373 L	     977 W	  11366 Ch	  "owa"
00113:  C=200    373 L	     977 W	  11366 Ch	  "blogs"
00096:  C=200    373 L	     977 W	  11366 Ch	  "files"
00102:  C=200    373 L	     977 W	  11366 Ch	  "sms"
00120:  C=200    373 L	     977 W	  11366 Ch	  "ssl"
00119:  C=200    373 L	     977 W	  11366 Ch	  "www.demo"
00118:  C=200    373 L	     977 W	  11366 Ch	  "dns4"
00115:  C=200    373 L	     977 W	  11366 Ch	  "cdn"
00117:  C=200    373 L	     977 W	  11366 Ch	  "gw"
00114:  C=200    373 L	     977 W	  11366 Ch	  "it"
00116:  C=200    373 L	     977 W	  11366 Ch	  "stage"
00111:  C=200    373 L	     977 W	  11366 Ch	  "app"
00112:  C=200    373 L	     977 W	  11366 Ch	  "en"
00108:  C=200    373 L	     977 W	  11366 Ch	  "home"
00110:  C=200    373 L	     977 W	  11366 Ch	  "login"
00121:  C=200    373 L	     977 W	  11366 Ch	  "cn"
00123:  C=200    373 L	     977 W	  11366 Ch	  "vps"
00127:  C=200    373 L	     977 W	  11366 Ch	  "service"
00130:  C=200    373 L	     977 W	  11366 Ch	  "ntp"
00133:  C=200    373 L	     977 W	  11366 Ch	  "www4"
00132:  C=200    373 L	     977 W	  11366 Ch	  "help"
00131:  C=200    373 L	     977 W	  11366 Ch	  "library"
00129:  C=200    373 L	     977 W	  11366 Ch	  "radio"
00126:  C=200    373 L	     977 W	  11366 Ch	  "online"
00128:  C=200    373 L	     977 W	  11366 Ch	  "test2"
00125:  C=200    373 L	     977 W	  11366 Ch	  "relay"
00122:  C=200    373 L	     977 W	  11366 Ch	  "smtp2"
00124:  C=200    373 L	     977 W	  11366 Ch	  "ns6"
00134:  C=200    373 L	     977 W	  11366 Ch	  "members"
00136:  C=200    373 L	     977 W	  11366 Ch	  "www.shop"
00146:  C=200    373 L	     977 W	  11366 Ch	  "www.mail"
00140:  C=200    373 L	     977 W	  11366 Ch	  "services"
00145:  C=200    373 L	     977 W	  11366 Ch	  "s"
00144:  C=200    373 L	     977 W	  11366 Ch	  "survey"
00143:  C=200    373 L	     977 W	  11366 Ch	  "i"
00142:  C=200    373 L	     977 W	  11366 Ch	  "s1"
00139:  C=200    373 L	     977 W	  11366 Ch	  "ldap"
